Species,Trait
Fuirena_coerulescens,C3
Fuirena_pubescens,C3
Fuirena_pumila,C3
Fuirena_scirpoidea,C3
Fuirena_simplex,C3
Fuirena_stricta,C3
Fuirena_umbellata,C3
Fuirena_welwitschii,C3
Gahnia_aspera,C3
Gahnia_baniensis,C3
Gahnia_deusta,C3
Gahnia_melanocarpa,C3
Gahnia_trifida,C3
Gahnia_tristis,C3
Gymnoschoenus_sphaerocephalus,C3
Hellmuthia_membranacea,C3
Hypolytrum_longifolium,C3
Hypolytrum_nemorum,C3
Isolepis_aucklandica,C3
Isolepis_carinata,C3
Isolepis_cernua,C3
Isolepis_costata,C3
Isolepis_crassiuscula,C3
Isolepis_diabolica,C3
Isolepis_digitata,C3
Isolepis_fluitans,C3
Isolepis_graminoides,C3
Isolepis_hystrix,C3
Isolepis_keniaensis,C3
Isolepis_marginata,C3
Isolepis_montivaga,C3
Isolepis_prolifera,C3
Isolepis_sepulcralis,C3
Isolepis_setacea,C3
Isolepis_sulcata,C3
Isolepis_varians,C3
Juncus_acutus,C3
Juncus_capitatus,C3
Juncus_effusus,C3
Juncus_trifidus,C3
Khaosokia_caricoides,C3
Lagenocarpus_albo-niger,C3
Lagenocarpus_guianensis,C3
Lepidosperma_longitudinale,C3
Lepidosperma_tortuosum,C3
Lepironia_articulata,C3
Machaerina_articulata,C3
Machaerina_glomerata,C3
Machaerina_iridifolia,C3
Machaerina_mariscoides,C3
Machaerina_rubiginosa,C3
Machaerina_scirpoidea,C3
Machaerina_sinclairii,C3
Mapania_assimilis,C3
Mapania_cuspidata,C3
Mapania_meditensis,C3
Mapania_pycnocephala,C3
Mesomelaena_pseudostygia,C3
Mesomelaena_tetragona,C3
Microdracoides_squamosa,C3
Morelotia_affinis,C3
Morelotia_gahniiformis,C3
Neesenbeckia_punctoria,C3
Oreobolopsis_clementis,C3
Oreobolopsis_inversa,C3
Oreobolopsis_tepalifera,C3
Oreobolus_acutifolius,C3
Oreobolus_goeppingeri,C3
Oreobolus_kuekenthalii,C3
Oreobolus_obtusangulus,C3
Oreobolus_pectinatus,C3
Oreobolus_pumilio,C3
Paramapania_parvibractea,C3
Phylloscirpus_acaulis,C3
Phylloscirpus_deserticola,C3
Pleurostachys_stricta,C3
Ptilothrix_deusta,C3
Rhynchospora_alba,C3
Rhynchospora_albiceps,C3
Rhynchospora_aristata,C3
Rhynchospora_brownii,C3
Rhynchospora_caduca,C3
Rhynchospora_capillacea,C3
Rhynchospora_capitellata,C3
Rhynchospora_cephalantha,C3
Rhynchospora_chalarocephala,C3
Rhynchospora_chapmanii,C3
Rhynchospora_chinensis,C3
Rhynchospora_ciliaris,C3
Rhynchospora_colorata,C3
Rhynchospora_corniculata,C3
Rhynchospora_corymbosa,C3
Rhynchospora_crinipes,C3
Rhynchospora_decurrens,C3
Rhynchospora_divergens,C3
Rhynchospora_elliottii,C3
Rhynchospora_fascicularis,C3
Rhynchospora_filifolia,C3
Rhynchospora_floridensis,C3
Rhynchospora_fusca,C3
Rhynchospora_globosa,C4
Rhynchospora_globularis,C3
Rhynchospora_glomerata,C3
Rhynchospora_gracilenta,C3
Rhynchospora_gracillima,C3
Rhynchospora_grayi,C3
Rhynchospora_holoschoenoides,C3
Rhynchospora_inexpansa,C3
Rhynchospora_inundata,C3
Rhynchospora_latifolia,C3
Rhynchospora_macra,C3
Rhynchospora_marisculus,C3
Rhynchospora_megalocarpa,C3
Rhynchospora_megaplumosa,C3
Rhynchospora_microcarpa,C3
Rhynchospora_miliacea,C3
Rhynchospora_mixta,C3
Rhynchospora_nervosa,C3
Rhynchospora_nitens,C3
Rhynchospora_plumosa,C3
Rhynchospora_polyphylla,C3
Rhynchospora_pusilla,C3
Rhynchospora_rariflora,C3
Rhynchospora_robusta,C3
Rhynchospora_rubra,C4
Rhynchospora_rugosa,C3
Rhynchospora_scirpoides,C3
Rhynchospora_tracyi,C3
Schoenoplectiella_articulata,C3
Schoenoplectiella_erecta,C3
Schoenoplectiella_hallii,C3
Schoenoplectiella_hotarui,C3
Schoenoplectiella_juncea,C3
Schoenoplectiella_juncoides,C3
Schoenoplectiella_lineolata,C3
Schoenoplectiella_mucronata,C3
Schoenoplectiella_purshiana,C3
Schoenoplectiella_saximontana,C3
Schoenoplectiella_senegalensis,C3
Schoenoplectiella_smithii,C3
Schoenoplectiella_supina,C3
Schoenoplectiella_wallichii,C3
Schoenoplectus_acutus,C3
Schoenoplectus_americanus,C3
Schoenoplectus_californicus,C3
Schoenoplectus_corymbosus,C3
Schoenoplectus_deltarum,C3
Schoenoplectus_etuberculatus,C3
Schoenoplectus_heterochaetus,C3
Schoenoplectus_lacustris,C3
Schoenoplectus_litoralis,C3
Schoenoplectus_pungens,C3
Schoenoplectus_subterminalis,C3
Schoenoplectus_tabernaemontani,C3
Schoenoplectus_torreyi,C3
Schoenoplectus_triqueter,C3
Schoenus_apogon,C3
Schoenus_bolusii,C3
Schoenus_brevifolius,C3
Schoenus_compactus,C3
Schoenus_compar,C3
Schoenus_crassus,C3
Schoenus_curvifolius,C3
Schoenus_cuspidatus,C3
Schoenus_efoliatus,C3
Schoenus_exilis,C3
Schoenus_laticulmis,C3
Schoenus_neovillosus,C3
Schoenus_nigricans,C3
Schoenus_pennisetis,C3
Schoenus_pictus,C3
Schoenus_quadrangularis,C3
Schoenus_variabilis,C3
Scirpodendron_bogneri,C3
Scirpodendron_ghaeri,C3
Scirpoides_burkei,C3
Scirpoides_holoschoenus,C3
Scirpus_atrovirens,C3
Scirpus_cyperinus,C3
Scirpus_divaricatus,C3
Scirpus_lineatus,C3
Scirpus_pendulus,C3
Scleria_abortiva,C3
Scleria_angusta,C3
Scleria_angustifolia,C3
Scleria_ankaratrensis,C3
Scleria_arguta,C3
Scleria_balansae,C3
Scleria_baldwinii,C3
Scleria_bambariensis,C3
Scleria_baroniclarkei,C3
Scleria_baronii,C3
Scleria_bequaertii,C3
Scleria_biflora,C3
Scleria_boivinii,C3
Scleria_bourgeaui,C3
Scleria_bracteata,C3
Scleria_brownii,C3
Scleria_bulbifera,C3
Scleria_burchellii,C3
Scleria_calcicola,C3
Scleria_carphiformisb,C3
Scleria_castanea,C3
Scleria_catophylla,C3
Scleria_ciliaris,C3
Scleria_ciliata,C3
Scleria_comosa,C3
Scleria_comosab,C3
Scleria_composita,C3
Scleria_corymbosa,C3
Scleria_cuyabensis,C3
Scleria_cyperina,C3
Scleria_delicatula,C3
Scleria_depauperata,C3
Scleria_depressa,C3
Scleria_distans,C3
Scleria_distans_var_chondrocarpa,C3
Scleria_dregeana,C3
Scleria_eggersiana,C3
Scleria_erythrorrhiza,C3
Scleria_flagellumnigrorum,C3
Scleria_flexuosa,C3
Scleria_foliosa,C3
Scleria_fulvipilosa,C3
Scleria_gaertneri,C3
Scleria_georgiana,C3
Scleria_glabra,C3
Scleria_globonux,C3
Scleria_goossensii,C3
Scleria_greigiifolia,C3
Scleria_hildebrandtii,C3
Scleria_hilsenbergii,C3
Scleria_hirtella,C3
Scleria_hispidior,C3
Scleria_hispidula,C3
Scleria_interrupta,C3
Scleria_iostephana,C3
Scleria_kerrii,C3
Scleria_lacustris,C3
Scleria_lagoensis,C3
Scleria_latifolia,C3
Scleria_laxa,C3
Scleria_laxiflora,C3
Scleria_leptostachya,C3
Scleria_liberica,C3
Scleria_lithosperma,C3
Scleria_longispiculata,C3
Scleria_mackaviensis,C3
Scleria_macrogyne,C3
Scleria_macrophylla,C3
Scleria_madagascariensis,C3
Scleria_maypurensis,C3
Scleria_melanomphala,C3
Scleria_melanotricha,C3
Scleria_microcarpa,C3
Scleria_mitis,C3
Scleria_mongomoensis,C3
Scleria_muehlenbergii,C3
Scleria_naumanniana,C3
Scleria_neesii,C3
Scleria_nyasensis,C3
Scleria_oblata,C3
Scleria_obtusa,C3
Scleria_oligantha,C3
Scleria_panicoides,C3
Scleria_pantadenia,C3
Scleria_parvula,C3
Scleria_paupercula,C3
Scleria_pedicellata,C3
Scleria_pergracilis,C3
Scleria_pergracilis_var_brachystachys,C3
Scleria_perpusilla,C3
Scleria_plusiophylla,C3
Scleria_poiformis,C3
Scleria_polycarpa,C3
Scleria_polyrrhiza,C3
Scleria_pooides,C3
Scleria_pseudohispidior,C3
Scleria_pulchella,C3
Scleria_purdiei,C3
Scleria_purpurascens,C3
Scleria_pusilla,C3
Scleria_racemosa,C3
Scleria_rehmannii,C3
Scleria_reticularis,C3
Scleria_richardsiae,C3
Scleria_robinsoniana,C3
Scleria_rosea,C3
Scleria_rugosa,C3
Scleria_rutenbergiana,C3
Scleria_scabra,C3
Scleria_schiedeana,C3
Scleria_schimperiana,C3
Scleria_schliebenii,C3
Scleria_scrobiculata,C3
Scleria_secans,C3
Scleria_skutchii,C3
Scleria_sobolifer,C3
Scleria_sororia,C3
Scleria_sphacelata,C3
Scleria_spicata,C3
Scleria_spiciformis,C3
Scleria_splitgerberiana,C3
Scleria_sprucei,C3
Scleria_staheliana,C3
Scleria_suaveolens,C3
Scleria_sumatrensis,C3
Scleria_tenella,C3
Scleria_tepuiensis,C3
Scleria_terrestris,C3
Scleria_tessellata,C3
Scleria_testacea,C3
Scleria_tonkinensis,C3
Scleria_transvaalensis,C3
Scleria_tricholepis,C3
Scleria_tricristata,C3
Scleria_triglomerata,C3
Scleria_unguiculata,C3
Scleria_verrucosa,C3
Scleria_verticillata,C3
Scleria_veseyfitzgeraldii,C3
Scleria_virgata,C3
Scleria_vogelii,C3
Scleria_welwitschii,C3
Scleria_williamsii,C3
Scleria_woodii,C3
Scleria_zambesica,C3
Tetraria_capillaris,C3
Tetraria_crinifolia,C3
Tetraria_flexuosa,C3
Tetraria_involucrata,C3
Tetraria_microstachys,C3
Tetraria_nigrovaginata,C3
Tetraria_ustulata,C3
Trachystylis_stradbrokensis,C3
Trianoptiles_capensis,C3
Trichophorum_alpinum,C3
Trichophorum_cespitosum,C3
Trichophorum_clintonii,C3
Trichophorum_dioicum,C3
Trichophorum_pumilum,C3
Trichophorum_rigidum,C3
Trichophorum_subcapitatum,C3
Trichophorum_uniflorum,C3
Tricostularia_pauciflora,C3
Trilepis_lhotzkiana,C3
Xyroschoenus_hornei,C3
Zameioscirpus_atacamensis,C3
Zameioscirpus_muticus,C3
